NUGGETS ID,CLICK PACKAGES Shares,CLICK PACKAGES Clicks
562f7ad56c1c2b0022000021,12,194
563a891e2fa39c002600000a,2,194
56410388ea941c002400010a,1,192
5624eacc533f590030000091,2,192
56536311e814c3001e00003a,9,190
5637c0ce5d2a7f003000008f,0,190
5654946cf84e51002d00003d,3,189
560edde2c4a1aa001c000118,6,188
5627d1c1de896b00300001b5,0,188
565c65c90bf573002400002c,2,187
564a363781e65b001b0001c8,1,186
5633719e44443400290000e2,3,186
563c2901001beb0030000112,4,186
5609bb65333162000d530000,3,185
564a4890e448af003000003e,3,184
56422e53360a150024000200,5,184
56392b895b28b8002b00017c,4,184
5642342a360a15001b000207,3,183
5642cd4535095a00230000bb,1,182
5627acbede896b001d000143,4,182
561e821ac11f55001e000146,7,180
563954351feae40033000003,4,180
564f6aeff743a3002a000373,2,178
552dcdf0633163001cb50000,6,178
5653beca68e7210024000226,6,178
561fcff70ed319002d000021,4,178
5640de97873b20001e000127,8,177
56255915533f59002d000267,5,177
562fbb34b62e7800180001af,6,177
56202c009efda2002100002c,4,177
5615dba8355f470018000018,7,176
56424066360a150033000270,0,176
561538f263fd0c00220000f6,6,175
5628feef990296002c0000ba,7,175
5654a441f84e51001b0000ad,12,174
56158d384881a80021000060,5,173
561d0682e981ed001e00004b,1,173
563d06b5001beb00300003e6,12,173
560dc6ccadfbfb001b00000e,1,171
563ce9bf88876100270002e3,1,171
56437c0a35095a00300001fe,2,171
56322c41a6eb0d001b00007b,3,170
563b91b20595ec002a000000,1,170
562e283eeaffeb001b000001,7,169
562fdcec062735002900004e,1,168
561c2d6652d055002700000b,0,167
563fdff91f76e00018000036,2,166
55e8a42b336466000d0a0300,2,166
563cc7c9001beb00300001bf,3,165
5617c7456530d4002a0000d7,4,165
563cbc64001beb002a00016e,1,164
562a6a145adc2a003200005c,1,163
564a0722617ef000330000a4,4,163
561e5ef09fa9c1001b000061,3,160
56327fb689a9dc001e0000e6,2,159
564cd630703ea2002a0001aa,4,159
564e57eb437ff0002d0000ef,6,159
56460629de1096001b00017f,0,158
56423cfb88ba7f0033000288,1,156
564e372258b61e0030000029,3,156
56162cdb355f470027000040,0,154
5630da963c3b07001b000098,2,153
55c8fb2f646161001a9a0000,2,152
56537b9b68e721002a00007b,2,151
564e4726437ff00021000094,6,151
560bf3363963320025340100,14,149
5629d12c258092002a000200,3,148
5643514035095a001e0000d0,6,146
561434fe1d501b001c000004,3,146
563cbe938887610021000160,4,145
560ed67bfaf5f9001f0000cf,5,145
561bee87baf18a002a00004e,2,143
561435f1f032f2002b000002,7,143
561422e0a964d9001c00002d,4,143
56244d59533f59003300000b,1,143
561e7bd79fa9c1001e0000d7,2,142
564ccfad703ea2002d000189,3,142
563cef4c001beb0027000345,2,142
561821cd279f6d002900000a,4,140
563000091191e1002a000104,4,139
5630e9de72e83d002d0000e0,8,139
564c9e32703ea2002d000066,1,139
